Date,USD
12/29/1978,214.1
3/30/1979,238.1
6/29/1979,259.3
9/28/1979,315.7
12/31/1979,408.4
3/31/1980,632.1
6/30/1980,544.9
9/30/1980,648.9
12/31/1980,628.7
3/31/1981,518.0
6/30/1981,478.2
9/30/1981,421.4
12/31/1981,421.0
3/31/1982,361.3
6/30/1982,332.4
9/30/1982,380.4
12/31/1982,426.4
3/31/1983,462.0
6/30/1983,427.3
9/30/1983,416.8
12/30/1983,387.7
3/30/1984,383.9
6/29/1984,378.7
9/28/1984,345.6
12/31/1984,335.0
3/29/1985,302.0
6/28/1985,319.3
9/30/1985,323.3
12/31/1985,324.5
3/31/1986,343.4
6/30/1986,341.8
9/30/1986,380.5
12/31/1986,405.2
3/31/1987,406.2
6/30/1987,449.2
9/30/1987,457.1
12/31/1987,472.5
3/31/1988,453.4
6/30/1988,451.3
9/30/1988,427.3
12/30/1988,415.2
3/31/1989,394.0
6/30/1989,374.1
9/29/1989,367.3
12/29/1989,388.6
3/30/1990,406.3
6/29/1990,364.9
9/28/1990,382.0
12/31/1990,380.1
3/29/1991,370.7
6/28/1991,360.6
9/30/1991,357.9
12/31/1991,360.1
3/31/1992,350.8
6/30/1992,339.0
9/30/1992,347.3
12/31/1992,338.3
3/31/1993,329.5
6/30/1993,360.7
9/30/1993,375.4
12/31/1993,373.5
3/31/1994,384.3
6/30/1994,381.7
9/30/1994,385.8
12/30/1994,384.7
3/31/1995,379.2
6/30/1995,387.8
9/29/1995,384.3
12/29/1995,385.1
3/29/1996,400.1
6/28/1996,390.1
9/30/1996,384.6
12/31/1996,376.5
3/31/1997,351.3
6/30/1997,343.0
9/30/1997,323.6
12/31/1997,307.7
3/31/1998,294.2
6/30/1998,299.7
9/30/1998,288.9
12/31/1998,294.0
3/31/1999,286.8
6/30/1999,273.0
9/30/1999,259.2
12/31/1999,296.0
3/31/2000,290.2
6/30/2000,280.3
9/29/2000,276.5
12/29/2000,269.0
3/30/2001,263.5
6/29/2001,267.9
9/28/2001,274.2
12/31/2001,278.6
3/29/2002,290.1
6/28/2002,312.4
9/30/2002,314.2
12/31/2002,321.9
3/31/2003,352.1
6/30/2003,346.9
9/30/2003,363.2
12/31/2003,391.1
3/31/2004,408.4
6/30/2004,393.3
9/30/2004,401.3
12/31/2004,433.8
3/31/2005,427.4
6/30/2005,427.4
9/30/2005,439.7
12/30/2005,484.2
3/31/2006,554.1
6/30/2006,627.7
9/29/2006,621.7
12/29/2006,613.2
3/30/2007,649.8
6/29/2007,666.8
9/28/2007,680.1
12/31/2007,786.3
3/31/2008,924.8
6/30/2008,896.3
9/30/2008,871.6
12/31/2008,794.8
3/31/2009,908.4
6/30/2009,922.2
9/30/2009,960.0
12/31/2009,1099.6
3/31/2010,1109.1
6/30/2010,1196.7
9/30/2010,1226.8
12/31/2010,1366.8
3/31/2011,1386.3
6/30/2011,1506.1
9/30/2011,1702.1
12/30/2011,1688.0
3/30/2012,1690.6
6/29/2012,1609.5
9/28/2012,1652.0
12/31/2012,1721.8
3/29/2013,1631.8
6/28/2013,1414.8
9/30/2013,1326.3
12/31/2013,1276.2
3/31/2014,1293.1
6/30/2014,1288.4
9/30/2014,1281.9
12/31/2014,1201.4
3/31/2015,1218.5
6/30/2015,1192.4
9/30/2015,1124.3
12/31/2015,1106.5
3/31/2016,1182.6
6/30/2016,1259.6
9/30/2016,1334.8
12/30/2016,1221.6
3/31/2017,1219.5
6/30/2017,1256.6
9/29/2017,1277.9
12/29/2017,1275.4
3/30/2018,1329.3
6/29/2018,1306.0
9/28/2018,1213.2
12/31/2018,1226.3
3/29/2019,1303.8
6/28/2019,1309.4
9/30/2019,1472.5
12/31/2019,1481.0
3/31/2020,1582.8
6/30/2020,1711.1
9/30/2020,1908.6
12/31/2020,1874.2
3/31/2021,1794.0
6/30/2021,1816.5
9/30/2021,1789.5
12/31/2021,1795.3
3/31/2022,1877.2
6/30/2022,1870.6
9/30/2022,1728.9
12/30/2022,1725.9
3/31/2023,1889.9
6/30/2023,1975.9
9/29/2023,1928.5
12/29/2023,1971.5
3/29/2024,2069.8
6/28/2024,2338.2
9/30/2024,2474.3
12/31/2024,2663.4
3/31/2025,2859.6
