Date,USD
12/29/1978,193.4
12/31/1979,304.7
12/31/1980,614.5
12/31/1981,459.3
12/31/1982,375.3
12/30/1983,423.7
12/31/1984,360.8
12/31/1985,317.3
12/31/1986,367.9
12/31/1987,446.2
12/30/1988,436.9
12/29/1989,380.8
12/31/1990,383.6
12/31/1991,362.3
12/31/1992,344.0
12/31/1993,359.8
12/30/1994,384.2
12/29/1995,384.1
12/31/1996,387.9
12/31/1997,331.3
12/31/1998,294.1
12/31/1999,278.6
12/29/2000,279.1
12/31/2001,271.0
12/31/2002,309.7
12/31/2003,363.3
12/31/2004,409.2
12/30/2005,444.5
12/29/2006,603.8
12/31/2007,695.4
12/31/2008,872.0
12/31/2009,972.4
12/31/2010,1224.5
12/30/2011,1571.5
12/31/2012,1669.0
12/31/2013,1411.2
12/31/2014,1266.4
12/31/2015,1160.1
12/30/2016,1250.8
12/29/2017,1257.2
12/31/2018,1268.5
12/31/2019,1392.6
12/31/2020,1769.6
12/31/2021,1798.6
12/30/2022,1800.1
12/29/2023,1940.5
12/31/2024,2386.2
